barcode,isoform,num_reads,num_A,num_C,num_G,num_T,num_DEL,num_INS,num_reads_ACGT,A%_INSDEL,C%_INSDEL,G%_INSDEL,T%_INSDEL,INS%_INSDEL,DEL%_INSDEL,A%,C%,G%,T%,barcode_num,experiment,cap,RT
barcode01,E_(5_6_7_8),7899,5348,270,405,473,612,791,6496,0.6770477275604507,0.0341815419673376,0.0512723129510064,0.0598809975946322,0.100139258133941,0.0774781617926319,0.8232758620689655,0.0415640394088669,0.0623460591133004,0.0728140394088669,1,FM179_combined,NAD-U1,INDURO
barcode01,E_(5_6_7_8),44668,32198,1269,2130,2606,2093,4372,38203,0.7208292289782394,0.0284095997134413,0.0476851437270529,0.058341542043521,0.0978776752932748,0.0468568102444703,0.8428133916184593,0.0332172866005287,0.0557547836557338,0.0682145381252781,1,FM180 + FM181,NAD-U1,INDURO
barcode02,E_(5_6_7_8),4279,1411,310,405,788,631,734,2914,0.3297499415751344,0.0724468333722832,0.0946482823089506,0.1841551764430941,0.1715354054685674,0.1474643608319701,0.4842141386410432,0.1063829787234042,0.138984214138641,0.2704186684969115,2,FM179_combined,Ap₄A-U1,INDURO
barcode02,E_(5_6_7_8),17157,6617,820,1833,3059,2068,2760,12329,0.3856734860406831,0.0477939033630588,0.1068368595908375,0.1782945736434108,0.1608672844902955,0.1205338928717141,0.5367020845161814,0.0665098548138535,0.148673858382675,0.2481142022872901,2,FM180 + FM181,Ap₄A-U1,INDURO
barcode03,E_(5_6_7_8),21857,8507,983,5298,2757,1212,3100,17545,0.3892116941940797,0.0449741501578441,0.2423937411355629,0.1261380793338518,0.1418309923594272,0.0554513428192341,0.4848674836135651,0.0560273582217155,0.3019663721858079,0.1571387859789113,3,FM180 + FM181,m⁷Gp₃A-U1,INDURO
barcode03,E_(5_6_7_8),6176,1985,323,1327,1039,312,1190,4674,0.3214054404145077,0.0522992227979274,0.2148639896373056,0.168231865284974,0.192681347150259,0.0505181347150259,0.4246897732135216,0.0691056910569105,0.2839109970047069,0.2222935387248609,3,FM179_combined,m⁷Gp₃A-U1,INDURO
barcode04,E_(5_6_7_8),2291,927,124,181,407,217,435,1639,0.4046268005237887,0.0541248363160192,0.0790048013967699,0.1776516804888694,0.189873417721519,0.0947184635530336,0.565588773642465,0.0756558877364246,0.1104331909701037,0.2483221476510067,4,FM179_combined,TMG-U1,INDURO
barcode04,E_(5_6_7_8),2942,1503,157,253,359,233,437,2272,0.5108769544527533,0.0533650577838205,0.0859959211420802,0.1220258327668252,0.1485384092454112,0.0791978246091094,0.6615316901408451,0.0691021126760563,0.1113556338028169,0.1580105633802817,4,FM180 + FM181,TMG-U1,INDURO
barcode05,E_(5_6_7_8),15796,10020,705,911,1080,1974,1106,12716,0.634337807039757,0.0446315522917194,0.0576728285641934,0.0683717396809318,0.0700177260065839,0.1249683464168143,0.7879836426549229,0.0554419628814092,0.0716420257942749,0.0849323686693929,5,FM179_combined,NAD-U1,ProtoScript
barcode05,E_(5_6_7_8),16407,10782,682,886,1019,1847,1191,13369,0.6571585298957762,0.0415676235753032,0.054001340891083,0.062107636984214,0.0725909672700676,0.1125739013835558,0.8064926322088414,0.0510135387837534,0.0662727204727354,0.0762211085346697,5,FM180 + FM181,NAD-U1,ProtoScript
barcode06,E_(5_6_7_8),18227,8620,903,586,6890,567,661,16999,0.4729247819169364,0.0495418884073078,0.0321501069841444,0.3780106435507763,0.0362648817688045,0.0311076973720305,0.5070886522736632,0.0531207718101064,0.0344726160362374,0.4053179598799929,6,FM180 + FM181,Ap₄A-U1,ProtoScript
barcode06,E_(5_6_7_8),6711,2826,404,255,2499,445,282,5984,0.4210996870809119,0.0601996721800029,0.037997317836388,0.3723737147966026,0.0420205632543585,0.0663090448517359,0.47225935828877,0.0675133689839572,0.0426136363636363,0.4176136363636363,6,FM179_combined,Ap₄A-U1,ProtoScript
barcode07,E_(5_6_7_8),47607,15894,16258,3731,3840,933,6951,39723,0.3338584661919466,0.3415044006133552,0.0783708278194383,0.0806604070829919,0.1460079400088222,0.0195979582834457,0.400120836794804,0.4092842937341087,0.093925433627873,0.0966694358432142,7,FM180 + FM181,m⁷Gp₃A-U1,ProtoScript
